+	Ohthere	Ohthere	ohthere
+	her	Her	her
+	Ceolnoþ	Ceolnoþ	ceolnoþ
+	arcebisceop	ærcebiscep	arcebisceop
+	onfon	onfeng	onfon
+	pallium	pallium	pallium
+	her	Her	her
-	hæðen	hæþne	hæþen
+	mann	men	mann
+	oferhergian	oferhergeadon	oferhergian
+	Sceapig	Sceapige	sceapig
+	her	Her	her
+	gefeohtan	gefeaht	gefeohtan
+	Ecgbryht	Ecgbryht	ecgbryht
+	cyning	cyning	cyning
+	wiþ	wiþ	wiþ
+	þritigfif	xxxv	þritigfif
+	sciphlæst	sciphlæsta	sciphlæst
+	æt	æt	æt
+	Carrum	Carrum	carrum
+	&	&	None
+	þær	þær	þær
+	weorþan	wearþ	weorþan
+	micel	micel	micel
+	wæl	wæl	wæl
-	geslean	geslægen	slean
+	&	&	None
-	se	þa	þu
+	Deniscan	Denescan	deniscan
+	agan	ahton	agan
+	wælstow	wælstowe	wælstow
+	geweald	gewald	geweald
+	&	&	None
+	Hereferþ	Hereferþ	hereferþ
+	&	&	None
+	Wigþen	Wigþen	wigþen
+	twegen	tuegen	twegen
+	bisceop	biscepas	bisceop
+	forþferan	forþferdon	forþferan
+	&	&	None
+	Dudda	Dudda	dudda
+	&	&	None
+	Osmod	Osmod	osmod
+	twegen	tuegen	twegen
+	ealdorman	aldormen	ealdorman
+	forþferan	forþferdon	forþferan
+	her	Her	her
-	cuman	cuom	None
+	micel	micel	micel
+	sciphere	sciphere	sciphere
+	on	on	on
+	West-Wealas	West.Walas	west-wealas
+	&	&	None
+	hi	hie	hi
-	to	to	toh
+	an	anum	an
+	gecirran	gecierdon	gecirran
+	&	&	None
+	wiþ	wiþ	wiþ
+	Ecgbryht	Ecgbryht	ecgbryht
+	West-Seaxe	West.Seaxna	west-seaxe
+	cyning	cyning	cyning
+	winnan	winnende	winnan
+	wesan	wæron	wesan
+	þa	Þa	þa
+	he	he	he
-	se	þæt	þæt
+	hyran	hierde	hyran
+	&	&	None
+	mid	mid	mid
-	fyrd	fierde	fierd
+	feran	ferde	feran
+	&	&	None
-	hi	him	him
+	wiþ	wiþ	wiþ
+	feohtan	feaht	feohtan
+	æt	æt	æt
+	Hengestdun	Hengestdune	hengestdun
+	&	&	None
+	þær	þær	þær
+	geflyman	gefliemde	geflyman
+	ge	ge	ge
-	se	þa	þu
+	Walas	Walas	walas
+	ge	ge	ge
-	se	þa	þu
+	Deniscan	Deniscan	deniscan
+	her	Her	her
+	Ecgbryht	Ecgbryht	ecgbryht
+	cyning	cyning	cyning
+	forþferan	forþferde	forþferan
+	&	&	None
+	he	hine	he
+	habban	hæfde	habban
+	ær	ær	ær
+	Offa	Offa	offa
+	Mirce	Miercna	mirce
+	cyning	cyning	cyning
+	&	&	None
+	Beorhtric	Beorhtric	beorhtric
+	West-Seaxe	Wesseaxna	west-seaxe
+	cyning	cyning	cyning
+	afliman	afliemed	afliman
+	þri	iii	þri
+	gear	gear	gear
+	of	of	of
+	Angelcynn	Angelcynnes	angelcynn
+	land	lande	land
+	on	on	on
+	Francland	Fronclond	francland
+	ær	ær	ær
+	he	he	he
+	cyning	cyning	cyning
-	wesan	wære	wære
+	&	&	None
-	þy	þy	þywan
-	fultuman	fultumode	fultumian
+	Beorhtric	Beorhtric	beorhtric
+	Offa	Offan	offa
-	þy	þy	þywan
+	he	he	he
+	habban	hæfde	habban
-	his	his	hit
+	dohtor	dohtor	dohtor
-	he	him	him
-	to	to	toh
-	cwen	cuene	None
+	&	&	None
+	se	se	se
+	Ecgbryht	Ecgbryht	ecgbryht
+	ricsian	ricsode	ricsian
+	þritigseofon	xxxvii	þritigseofon
+	wintra	wintra	wintra
+	&	&	None
+	seofon	vii	seofon
+	monaþ	monaþ	monaþ
+	&	&	None
+	fon	feng	fon
+	Æþelwulf	Eþelwulf	æþelwulf
+	Ecgbrehting	Ecgbrehting	ecgbrehting
-	to	to	toh
+	West-Seaxe	Wesseaxna	west-seaxe
-	rice	rice	romana
+	&	&	None
+	he	he	he
-	sellan	salde	None
-	his	his	hit
+	sunu	suna	sunu
+	Æþelstan	Æþelstane	æþelstan
+	Cantware	Cantwara	cantware
-	rice	rice	romana
+	&	&	None
+	East-Seaxe	East.Seaxna	east-seaxe
+	&	&	None
+	Suþrige	Suþrigea	suþrige
+	&	&	None
+	Suþ-Seaxe	Suþ.Seaxna	suþ-seaxe
+	her	Her	her
+	Wulfheard	Wulfheard	wulfheard
+	ealdorman	aldorman	ealdorman
+	gefeohtan	gefeaht	gefeohtan
+	æt	æt	æt
+	Hamtun	Hamtune	hamtun
+	wiþ	wiþ	wiþ
+	þritigþri	xxxiii	þritigþri
+	sciphlæst	sciphlæsta	sciphlæst
+	&	&	None
+	þær	þær	þær
+	micel	micel	micel
+	wæl	wæl	wæl
+	geslean	geslog	geslean
+	&	&	None
+	sige	sige	sige
+	niman	nom	niman
+	&	&	None
-	se	þy	þywan
-	gear	geare	geare
+	forþferan	forþferde	forþferan
+	Wulfheard	Wulfheard	wulfheard
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	gefeohtan	gefeaht	gefeohtan
+	Æþelhelm	Æþelhelm	æþelhelm
+	dux	dux	dux
+	wiþ	wiþ	wiþ
+	Denisc	Deniscne	denisc
-	here	here	herian
+	on	on	on
+	Port	Port	port
+	mid	mid	mid
-	Dornsæte	Dornsætum	dornsætum
+	&	&	None
+	god	gode	god
+	hwil	hwile	hwil
+	se	þone	se
-	here	here	herian
+	geflyman	gefliemde	geflyman
+	&	&	None
-	se	þa	þu
+	Deniscan	Deniscan	deniscan
+	agan	ahton	agan
+	wælstow	wælstowe	wælstow
+	geweald	gewald	geweald
+	&	&	None
+	se	þone	se
+	ealdorman	aldormon	ealdorman
+	ofslean	ofslogon	ofslean
+	her	Her	her
+	Herebryht	Herebryht	herebryht
+	ealdorman	aldormon	ealdorman
+	wesan	wæs	wesan
+	ofslean	ofslægen	ofslean
-	fram	from	from
-	hæðen	hæþnum	hæþen
+	mann	monnum	mann
+	&	&	None
+	manig	monige	manig
+	mid	mid	mid
-	he	him	him
+	on	on	on
+	Merscware	Merscwarum	merscware
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	eft	eft	eft
+	on	on	on
+	Lindesse	Lindesse	lindesse
+	&	&	None
+	on	on	on
+	East-Engle	East.Englum	east-engle
+	&	&	None
+	on	on	on
+	Cantware	Cantwarum	cantware
-	weorþan	wurdon	wurdon
+	manig	monige	manig
+	mann	men	mann
+	ofslean	ofslægene	ofslean
-	fram	from	from
-	se	þam	þæm
-	here	herige	herian
+	her	Her	her
+	wesan	wæs	wesan
+	micel	micel	micel
+	wælsliht	wælsliht	wælsliht
+	on	on	on
+	Lunden	Lundenne	lunden
+	&	&	None
+	on	on	on
+	Cwantawic	Cwantawic	cwantawic
+	&	&	None
+	on	on	on
+	Hrofesceaster	Hrofesceastre	hrofesceaster
+	her	Her	her
+	Æþelwulf	Æþelwulf	æþelwulf
+	cyning	cyning	cyning
+	gefeohtan	gefeaht	gefeohtan
+	æt	æt	æt
+	Carrum	Carrum	carrum
+	wiþ	wiþ	wiþ
+	þritigfif	xxxv	þritigfif
+	sciphlæst	sciphlæsta	sciphlæst
+	&	&	None
-	se	þa	þu
+	Deniscan	Deniscan	deniscan
+	agan	ahton	agan
+	wælstow	wælstowe	wælstow
+	geweald	gewald	geweald
+	her	Her	her
+	Eanulf	Eanulf	eanulf
+	ealdorman	aldorman	ealdorman
+	gefeohtan	gefeaht	gefeohtan
+	mid	mid	mid
+	Sumersæte	Sumursætum	sumersæte
+	&	&	None
+	Ealchstan	Ealchstan	ealchstan
+	bisceop	biscep	bisceop
+	&	&	None
+	Osric	Osric	osric
+	ealdorman	aldorman	ealdorman
+	mid	mid	mid
+	Dornsætum	Dornsætum	dornsætum
+	gefeohtan	gefuhton	gefeohtan
+	æt	æt	æt
+	Pedrida	Pedridan	pedrida
+	muþa	muþan	muþa
+	wiþ	wiþ	wiþ
+	Denisc	Deniscne	denisc
-	here	here	herian
+	&	&	None
+	þær	þær	þær
+	micel	micel	micel
+	wæl	wæl	wæl
+	geslean	geslogon	geslean
+	&	&	None
+	sige	sige	sige
+	niman	namon	niman
+	her	Her	her
-	Ceorl	Ceorl	None
+	ealdorman	aldormon	ealdorman
+	gefeohtan	gefeaht	gefeohtan
+	wiþ	wiþ	wiþ
-	hæðen	hæþene	hæþen
+	mann	men	mann
+	mid	mid	mid
-	Defena.scir	Defenascire	defena
+	æt	æt	æt
+	Wicganbeorg	Wicganbeorge	wicganbeorg
+	&	&	None
+	þær	þær	þær
+	micel	micel	micel
+	wæl	wæl	wæl
+	geslean	geslogon	geslean
+	&	&	None
+	sige	sige	sige
+	niman	namon	niman
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	Æþelstan	Æþelstan	æþelstan
+	cyning	cyning	cyning
+	&	&	None
+	Ealchere	Ealchere	ealchere
+	dux	dux	dux
-	micel	micelne	micelne
-	here	here	herian
+	ofslean	ofslogon	ofslean
+	æt	æt	æt
+	Sandwic	Sondwic	sandwic
+	on	on	on
+	Cent	Cent	cent
+	&	&	None
+	nigon	ix	nigon
+	scip	scipu	scip
+	gefon	gefengun	gefon
+	&	&	None
-	se	þa	þu
-	oðer	oþre	oþer
+	geflyman	gefliemdon	geflyman
+	&	&	None
-	hæðen	hæþne	hæþen
+	mann	men	mann
-	ær	ærest	ærest
+	ofer	ofer	ofer
+	winter	winter	winter
+	sittan	sæton	sittan
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
-	cuman	cuom	None
+	feorþa	feorðe	feorþa
+	healfhund	healfhund	healfhund
+	scip	scipa	scip
+	on	on	on
+	Temesemuþa	Temese	temesemuþa
+	muþa	muþan	muþa
+	&	&	None
+	brecan	bræcon	brecan
-	Cantwara.burg	Contwaraburg	cantwara
+	&	&	None
+	Lundenburh	Lundenburg	lundenburh
+	&	&	None
+	geflyman	gefliemdon	geflyman
+	Beorhtwulf	Beorhtwulf	beorhtwulf
+	Mirce	Miercna	mirce
+	cyning	cyning	cyning
+	mid	mid	mid
-	his	his	hit
-	fyrd	fierde	fierd
+	&	&	None
+	faran	foron	faran
-	þa	þa	þu
+	suþ	suþ	suþ
+	ofer	ofer	ofer
-	Temese	Temese	temesemuþa
+	on	on	on
+	Suþrige	Suþrige	suþrige
+	&	&	None
-	hi	him	him
+	gefeohtan	gefeaht	gefeohtan
+	wiþ	wiþ	wiþ
+	Æþelwulf	Æþelwulf	æþelwulf
+	cyning	cyning	cyning
+	&	&	None
+	Æþelbald	Æþelbald	æþelbald
-	his	his	hit
+	sunu	sunu	sunu
+	æt	æt	æt
+	Aclea	Aclea	aclea
+	mid	mid	mid
+	West-Seaxe	West.Seaxna	west-seaxe
-	fyrd	fierde	fierd
+	&	&	None
+	þær	þær	þær
-	se	þæt	þæt
+	micel	mæste	micel
+	wæl	wæl	wæl
+	geslean	geslogon	geslean
+	on	on	on
-	hæðen	hæþnum	hæþen
-	here	herige	herian
-	þe	þe	þu
+	we	we	we
-	secgan	secgan	None
+	hyran	hierdon	hyran
+	oþ	oþ	oþ
+	þes	þisne	þes
-	andweard	ondweardan	None
+	dæg	dæg	dæg
+	&	&	None
+	þær	þær	þær
+	sige	sige	sige
+	niman	namon	niman
+	her	Her	her
-	biddan	bæd	bædan
+	Burgred	Burgred	burgred
+	Mirce	Miercna	mirce
+	cyning	cyning	cyning
+	&	&	None
-	his	his	hit
-	wita	wiotan	None
+	Æþelwulf	Æþelwulf	æþelwulf
+	cyning	cyning	cyning
+	þæt	þæt	þæt
+	he	he	he
-	hi	him	him
+	gefultuman	gefultumade	gefultuman
+	þæt	þæt	þæt
-	he	him	him
+	Norþ-Walas	Norþ.Walas	norþ-walas
+	gehyrsumian	gehiersumade	gehyrsumian
+	he	He	he
-	þa	þa	þu
+	swa	swa	swa
-	don	dyde	dydan
+	&	&	None
+	mid	mid	mid
-	fyrd	fierde	fierd
-	faran	for	for
+	ofer	ofer	ofer
+	Mirce	Mierce	mirce
+	on	on	on
+	Norþ-Walas	Norþ.Walas	norþ-walas
+	&	&	None
+	hi	hie	hi
-	he	him	him
+	eal	alle	eal
+	gehyrsum	gehiersume	gehyrsum
+	don	dydon	don
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	sendan	sende	sendan
+	Æþelwulf	Æþelwulf	æþelwulf
+	cyning	cyning	cyning
+	Ælfred	Ælfred	ælfred
-	his	his	hit
+	sunu	sunu	sunu
-	to	to	toh
+	Rom	Rome	rom
+	þa	Þa	þa
-	wesan	was	None
+	domne	domne	domne
+	Leo	Leo	leo
+	papa	papa	papa
+	on	on	on
+	Rom	Rome	rom
+	&	&	None
+	he	he	he
+	he	hine	he
-	to	to	toh
-	cyning	cyninge	cyninge
+	gehalgian	gehalgode	gehalgian
+	&	&	None
+	he	hiene	he
-	he	him	him
-	to	to	toh
+	bisceop-sunu	biscepsuna	bisceop-sunu
+	niman	nam	niman
+	þa	Þa	þa
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	Ealchere	Ealhere	ealchere
+	mid	mid	mid
+	Cantware	Cantwarum	cantware
+	&	&	None
+	Huda	Huda	huda
+	mid	mid	mid
+	Suþrige	Suþrigium	suþrige
+	gefeohtan	gefuhton	gefeohtan
+	on	on	on
+	Tenet	Tenet	tenet
+	wiþ	wiþ	wiþ
-	hæðen	hæþnum	hæþen
-	here	herige	herian
+	&	&	None
-	ær	ærest	ærest
+	sige	sige	sige
+	niman	namon	niman
+	&	&	None
+	þær	þær	þær
+	weorþan	wearþ	weorþan
+	manig	monig	manig
+	mann	mon	mann
+	ofslean	ofslægen	ofslean
+	&	&	None
+	adrincan	adruncen	adrincan
+	on	on	on
+	gehwæðer	gehwæþere	gehwæðer
-	hand	hond	None
+	and	Ond	and
+	se	þæs	se
+	ofer	ofer	ofer
+	easter	Eastron	easter
+	gifan	geaf	gifan
+	Æþelwulf	Æþelwulf	æþelwulf
+	cyning	cyning	cyning
-	his	his	hit
+	dohtor	dohtor	dohtor
+	Burgred	Burgrede	burgred
-	cyning	cyninge	cyninge
+	of	of	of
+	West-Seaxe	Wesseaxum	west-seaxe
+	on	on	on
+	Mirce	Merce	mirce
+	her	Her	her
-	hæðen	hæþne	hæþen
+	mann	men	mann
-	ær	ærest	ærest
+	on	on	on
+	Sceapig	Sceapige	sceapig
+	ofer	ofer	ofer
+	winter	winter	winter
-	sittan	sætun	None
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	gebocian	gebocude	gebocian
+	Æþelwulf	Æþelwulf	æþelwulf
+	cyning	cyning	cyning
+	teoða	teoþan	teoða
-	dæl	dæl	dælan
-	his	his	hit
+	land	londes	land
+	ofer	ofer	ofer
+	eal	al	eal
-	his	his	hit
-	rice	rice	romana
+	God	Gode	god
-	to	to	toh
+	lof	lofe	lof
+	&	&	None
-	he	him	him
+	self	selfum	self
-	to	to	toh
+	ece	ecere	ece
+	hælu	hælo	hælu
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	feran	ferde	feran
-	to	to	toh
+	Rom	Rome	rom
+	mid	mid	mid
+	micel	micelre	micel
+	weorþness	weorþnesse	weorþness
+	&	&	None
+	þær	þær	þær
-	wesan	was	None
+	twelf	xii	twelf
+	monaþ	monaþ	monaþ
+	wunian	wuniende	wunian
+	&	&	None
-	þa	þa	þu
-	he	him	him
+	hamweard	hamweard	hamweard
-	faran	for	for
+	&	&	None
-	he	him	him
-	þa	þa	þu
+	Carl	Carl	carl
+	Francan	Francna	francan
+	cyning	cyning	cyning
-	his	his	hit
+	dohtor	dohtor	dohtor
-	geaf	geaf	gifan
-	he	him	him
-	to	to	toh
-	cwen	cuene	None
+	&	&	None
+	æfter	æfter	æfter
-	se	þam	þæm
-	to	to	toh
-	his	his	hit
-	leod	leodum	leode
-	cuman	cuom	None
+	&	&	None
+	hi	hie	hi
+	se	þæs	se
+	gefægen	gefægene	gefægen
-	wesan	wærun	None
+	&	&	None
+	ymb	ymb	ymb
+	twegen	ii	twegen
+	gear	gear	gear
+	se	þæs	se
-	þe	ðe	þu
+	he	he	he
+	on	on	on
+	Francan	Francum	francan
+	cuman	com	cuman
+	he	he	he
+	gefaran	gefor	gefaran
+	&	&	None
-	his	his	hit
-	lic	lic	liс
-	licgan	liþ	liþan
+	æt	æt	æt
+	Wintanceaster	Wintanceastre	wintanceaster
+	&	&	None
+	he	he	he
+	ricsian	ricsode	ricsian
+	nigonteoþa	nigonteoþe	nigonteoþa
+	healf	healf	healf
+	gear	gear	gear
+	and	Ond	and
-	þa	þa	þu
+	fon	fengon	fon
+	Æþelwulf	Æþelwulfes	æþelwulf
+	sunu	suna	sunu
+	twegen	twegen	twegen
-	to	to	toh
-	rice	rice	romana
+	Æþelbald	Æþelbald	æþelbald
-	to	to	toh
+	West-Seaxe	Wesseaxna	west-seaxe
-	rice	rice	romana
+	&	&	None
+	Æþelbryht	Æþelbryht	æþelbryht
-	to	to	toh
+	Cantware	Cantwara	cantware
-	rice	rice	romana
+	&	&	None
-	to	to	toh
+	East-Seaxe	East.Seaxna	east-seaxe
-	rice	rice	romana
+	&	&	None
-	to	to	toh
+	Suþrige	Suþrigea	suþrige
+	&	&	None
-	to	to	toh
+	Suþ-Seaxe	Suþ.Seaxna	suþ-seaxe
-	rice	rice	romana
+	&	&	None
-	þa	þa	þu
+	ricsian	ricsode	ricsian
+	Æþelbald	Æþelbald	æþelbald
+	fif	v	fif
+	gear	gear	gear
+	her	Her	her
+	Æþelbald	Æþelbald	æþelbald
-	cyning	cyng	cyng
+	forþferan	forþferde	forþferan
+	&	&	None
-	his	his	hit
-	lic	lic	liс
-	licgan	liþ	liþan
+	æt	æt	æt
+	Scireburne	Sciraburnan	scireburne
+	&	&	None
+	fon	feng	fon
+	Æþelbryht	Æþelbryht	æþelbryht
-	to	to	toh
+	eal	allum	eal
-	se	þam	þæm
-	rice	rice	romana
-	his	his	hit
+	broðor	broþur	broðor
+	&	&	None
+	he	he	he
+	hit	hit	hit
+	healdan	heold	healdan
+	on	on	on
+	god	godre	god
+	geþwærnes	geþuærnesse	geþwærnes
+	&	&	None
+	on	on	on
+	micel	micelre	micel
+	sibsumness	sibsumnesse	sibsumness
+	&	&	None
+	on	on	on
-	his	his	hit
-	dæg	dæge	dæge
-	cuman	cuom	None
+	micel	micel	micel
+	sciphere	sciphere	sciphere
+	up	up	up
+	&	&	None
+	abrecan	abræcon	abrecan
+	Wintanceaster	Wintanceastre	wintanceaster
+	&	&	None
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	gefeohtan	gefuhton	gefeohtan
+	Osric	Osric	osric
+	ealdorman	aldorman	ealdorman
+	mid	mid	mid
+	Hamtunscir	Hamtunscire	hamtunscir
+	&	&	None
+	Æþelwulf	Æþelwulf	æþelwulf
+	ealdorman	aldormon	ealdorman
+	mid	mid	mid
+	Bearrucscir	Bearrucscire	bearrucscir
+	&	&	None
+	se	þone	se
-	here	here	herian
+	geflyman	gefliemdon	geflyman
+	&	&	None
+	wælstow	wælstowe	wælstow
+	geweald	gewald	geweald
+	agan	ahton	agan
+	&	&	None
+	se	se	se
+	Æþelbryht	Æþelbryht	æþelbryht
+	ricsian	ricsode	ricsian
+	fif	v	fif
+	gear	gear	gear
+	&	&	None
-	his	his	hit
-	lic	lic	liс
-	licgan	liþ	liþan
+	æt	æt	æt
+	Scireburne	Scireburnan	scireburne
+	her	Her	her
-	sittan	sæt	sæt
-	hæðen	hæþen	hæþen
-	here	here	herian
+	on	on	on
+	Tenet	Tenet	tenet
+	&	&	None
+	geniman	genamon	geniman
+	friþ	friþ	friþ
+	wiþ	wiþ	wiþ
+	Cantware	Cantwarum	cantware
+	&	&	None
+	Cantware	Cantware	cantware
-	hi	him	him
+	feoh	feoh	feoh
+	gehatan	geheton	gehatan
+	wiþ	wiþ	wiþ
-	se	þam	þæm
+	friþ	friþe	friþ
+	&	&	None
+	under	under	under
-	se	þam	þæm
+	friþ	friþe	friþ
+	&	&	None
-	se	þam	þæm
+	feohgehat	feohgehate	feohgehat
+	se	se	se
-	here	here	herian
+	he	hiene	he
+	on	on	on
+	niht	niht	niht
+	up	up	up
+	bestelan	bestæl	bestelan
+	&	&	None
+	oferhergian	oferhergeade	oferhergian
+	eal	alle	eal
+	Cent	Cent	cent
+	easteweard	eastewearde	easteweard
+	her	Her	her
+	fon	feng	fon
+	Æþered	Æþered	æþered
+	Æþelbryht	Æþelbryhtes	æþelbryht
+	broðor	broþur	broðor
-	to	to	toh
+	West-Seaxe	Wesseaxna	west-seaxe
-	rice	rice	romana
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
-	cuman	cuom	None
+	micel	micel	micel
-	here	here	herian
+	on	on	on
+	Angelcynn	Angelcynnes	angelcynn
+	land	lond	land
+	&	&	None
+	wintersetl	wintersetl	wintersetl
+	niman	namon	niman
+	on	on	on
+	East-Engle	East.Englum	east-engle
+	&	&	None
+	þær	þær	þær
+	gehorsian	gehorsude	gehorsian
-	weorþan	wurdon	wurdon
+	&	&	None
+	hi	hie	hi
-	hi	him	him
+	friþ	friþ	friþ
+	wiþ	wiþ	wiþ
+	niman	namon	niman
+	her	Her	her
-	faran	for	for
+	se	se	se
-	here	here	herian
+	of	of	of
+	East-Engle	East.Englum	east-engle
+	ofer	ofer	ofer
+	Humbre	Humbre	humbre
+	muþa	muþan	muþa
-	to	to	toh
+	Eoforwicceaster	Eoforwicceastre	eoforwicceaster
+	on	on	on
+	Norþan-hymbre	Norþhymbre	norþan-hymbre
+	&	&	None
+	þær	þær	þær
+	wesan	wæs	wesan
+	micel	micel	micel
+	ungeþwærness	ungeþuærnes	ungeþwærness
-	se	þære	þære
-	þeod	þeode	þeon
+	betweoh	betweox	betweoh
-	hi	him	him
+	self	selfum	self
+	&	&	None
+	hi	hie	hi
-	habban	hæfdun	None
+	hira	hiera	hira
+	cyning	cyning	cyning
+	aweorpan	aworpenne	aweorpan
+	Osbryht	Osbryht	osbryht
+	&	&	None
+	ungecynde	ungecyndne	ungecynde
+	cyning	cyning	cyning
+	underfon	underfengon	underfon
+	Ælle	Ællan	ælle
+	&	&	None
+	hi	hie	hi
-	late	late	læt
+	on	on	on
-	gear	geare	geare
-	to	to	toh
-	se	þam	þæm
+	gecirran	gecirdon	gecirran
+	þæt	þæt	þæt
+	hi	hie	hi
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	winnan	winnende	winnan
-	wesan	wærun	None
+	&	&	None
+	hi	hie	hi
-	þeah	þeah	þiсgan
+	micel	micle	micel
-	fyrd	fierd	fierd
+	gegaderian	gegadrodon	gegaderian
+	&	&	None
+	se	þone	se
-	here	here	herian
-	secan	sohton	sœ̄сan
+	æt	æt	æt
+	Eoforwicceaster	Eoforwicceastre	eoforwicceaster
+	&	&	None
+	on	on	on
-	se	þa	þu
+	ceaster	ceastre	ceaster
+	brecan	bræcon	brecan
+	&	&	None
+	hi	hie	hi
+	sum	sume	sum
+	inne	inne	inne
-	weorþan	wurdon	wurdon
+	&	&	None
+	þær	þær	þær
-	wesan	was	None
+	ungemetlic	ungemetlic	ungemetlic
+	wæl	wæl	wæl
-	geslean	geslægen	slean
+	Norþan-hymbre	Norþanhymbra	norþan-hymbre
+	sum	sume	sum
+	binnan	binnan	binnan
+	sum	sume	sum
+	butan	butan	butan
+	&	&	None
-	se	þa	þu
+	cyning	cyningas	cyning
+	begen	begen	begen
+	ofslean	ofslægene	ofslean
+	&	&	None
+	se	sio	se
+	laf	laf	laf
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	friþ	friþ	friþ
+	niman	nam	niman
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	gefaran	gefor	gefaran
+	Ealchstan	Ealchstan	ealchstan
+	bisceop	biscep	bisceop
+	&	&	None
+	he	he	he
+	habban	hæfde	habban
-	se	þæt	þæt
+	bisecoprice	bisceprice	bisecoprice
+	fiftig	l	fiftig
-	winter	wintra	wintra
+	æt	æt	æt
+	Scireburne	Scireburnan	scireburne
+	&	&	None
-	his	his	hit
-	lic	lic	liс
-	licgan	liþ	liþan
+	þær	þær	þær
+	on	on	on
-	tun	tune	tune
+	her	Her	her
-	faran	for	for
+	se	se	se
+	ilca	ilca	ilca
-	here	here	herian
+	innan	innan	innan
+	Mirce	Mierce	mirce
-	to	to	toh
+	Snotingaham	Snotengaham	snotingaham
+	&	&	None
+	þær	þær	þær
+	wintersetl	wintersetl	wintersetl
+	niman	namon	niman
+	&	&	None
+	Burgred	Burgræd	burgred
+	Mirce	Miercna	mirce
+	cyning	cyning	cyning
+	&	&	None
-	his	his	hit
-	wita	wiotan	None
+	biddan	bædon	biddan
+	Æþered	Æþered	æþered
+	West-Seaxe	West.Seaxna	west-seaxe
+	cyning	cyning	cyning
+	&	&	None
+	Ælfred	Ælfred	ælfred
-	his	his	hit
+	broðor	broþur	broðor
+	þæt	þæt	þæt
+	hi	hie	hi
-	hi	him	him
+	gefultuman	gefultumadon	gefultuman
+	þæt	þæt	þæt
+	hi	hie	hi
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	gefeohtan	gefuhton	gefeohtan
+	&	&	None
-	þa	þa	þu
+	feran	ferdon	feran
+	hi	hie	hi
+	mid	mid	mid
+	West-Seaxe	Wesseaxna	west-seaxe
-	fyrd	fierde	fierd
+	innan	innan	innan
+	Mirce	Mierce	mirce
+	oþ	oþ	oþ
+	Snotingaham	Snotengaham	snotingaham
+	&	&	None
+	se	þone	se
-	here	here	herian
+	þær	þær	þær
+	metan	metton	metan
+	on	on	on
-	se	þam	þæm
+	geweorc	geweorce	geweorc
+	&	&	None
+	þær	þær	þær
+	nan	nan	nan
+	hefelic	hefelic	hefelic
-	gefeoht	gefeoht	gefeohtan
-	ne	ne	nesan
+	weorþan	wearþ	weorþan
+	&	&	None
+	Mirce	Mierce	mirce
+	friþ	friþ	friþ
+	niman	namon	niman
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	her	Her	her
-	faran	for	for
+	se	se	se
-	here	here	herian
+	eft	eft	eft
-	to	to	toh
+	Eoforwicceaster	Eoforwicceastre	eoforwicceaster
+	&	&	None
+	þær	þær	þær
-	sittan	sæt	sæt
+	an	i	an
+	gear	gear	gear
+	her	Her	her
+	ridan	rad	ridan
+	se	se	se
-	here	here	herian
+	ofer	ofer	ofer
+	Mirce	Mierce	mirce
+	innan	innan	innan
+	East-Engle	East.Engle	east-engle
+	&	&	None
+	wintersetl	wintersetl	wintersetl
+	niman	namon	niman
+	æt	æt	æt
+	þeodford	Þeodforda	þeodford
+	&	&	None
-	se	þy	þywan
+	winter	wintre	winter
+	Eadmund	Eadmund	eadmund
+	cyning	cyning	cyning
-	hi	him	him
+	wiþ	wiþ	wiþ
+	feohtan	feaht	feohtan
+	&	&	None
-	se	þa	þu
+	Deniscan	Deniscan	deniscan
+	sige	sige	sige
+	niman	namon	niman
+	&	&	None
+	se	þone	se
+	cyning	cyning	cyning
+	ofslean	ofslogon	ofslean
+	&	&	None
+	þæt	þæt	þæt
+	land	lond	land
+	eal	all	eal
+	gegan	geeodon	gegan
+	&	&	None
-	se	þy	þywan
-	gear	geare	geare
+	gefaran	gefor	gefaran
+	Ceolnoþ	Ceolnoþ	ceolnoþ
+	arcebisceop	ærcebiscop	arcebisceop
+	&	&	None
+	Æþered	Æþered	æþered
